.level,.threshold,specificity,sensitivity
Dropout,-Inf,0,1
Dropout,0.005068094935268164,0,1
Dropout,0.005611539352685213,0.0016638935108153063,1
Dropout,0.006489028222858906,0.0033277870216306127,1
Dropout,0.007298978511244059,0.004991680532445919,1
Dropout,0.007324551232159138,0.006655574043261225,1
Dropout,0.008104339241981506,0.008319467554076532,1
Dropout,0.008391054347157478,0.009983361064891838,1
Dropout,0.010781710967421532,0.011647254575707144,1
Dropout,0.01126866228878498,0.01331114808652245,1
Dropout,0.01151337567716837,0.014975041597337757,1
Dropout,0.012000931426882744,0.016638935108153063,1
Dropout,0.01274067722260952,0.01830282861896837,1
Dropout,0.012943429872393608,0.019966722129783676,1
Dropout,0.013262908905744553,0.021630615640598982,1
Dropout,0.013582970947027206,0.02329450915141429,1
Dropout,0.013721848838031292,0.024958402662229595,1
Dropout,0.01387589517980814,0.0266222961730449,1
Dropout,0.014059181325137615,0.028286189683860208,1
Dropout,0.014131621457636356,0.029950083194675514,1
Dropout,0.014612051658332348,0.03161397670549082,1
Dropout,0.01478307880461216,0.03327787021630613,1
Dropout,0.014920957386493683,0.03494176372712143,1
Dropout,0.015158484689891338,0.03660565723793674,1
Dropout,0.015213384293019772,0.038269550748752046,1
Dropout,0.015926288440823555,0.03993344425956735,1
Dropout,0.016105644404888153,0.04159733777038266,1
Dropout,0.01629573479294777,0.043261231281197965,1
Dropout,0.0163193941116333,0.04492512479201327,1
Dropout,0.01642223447561264,0.04658901830282858,1
Dropout,0.016462400555610657,0.048252911813643884,1
Dropout,0.016477737575769424,0.04991680532445919,1
Dropout,0.016514794901013374,0.0515806988352745,1
Dropout,0.016610534861683846,0.0532445923460898,1
Dropout,0.016698600724339485,0.05490848585690511,1
Dropout,0.01704871468245983,0.056572379367720416,1
Dropout,0.017124265432357788,0.05823627287853572,1
Dropout,0.017244551330804825,0.05990016638935103,1
Dropout,0.017264513298869133,0.061564059900166335,1
Dropout,0.017410924658179283,0.06322795341098175,1
Dropout,0.017479322850704193,0.06489184692179706,1
Dropout,0.01792898029088974,0.06655574043261236,1
Dropout,0.01818767376244068,0.06821963394342767,1
Dropout,0.018342018127441406,0.06988352745424298,1
Dropout,0.018404027447104454,0.07154742096505828,1
Dropout,0.018522795289754868,0.07321131447587359,1
Dropout,0.018863927572965622,0.0748752079866889,1
Dropout,0.018985869362950325,0.0765391014975042,1
Dropout,0.019048355519771576,0.07820299500831951,1
Dropout,0.0192117840051651,0.07986688851913482,1
Dropout,0.019333355128765106,0.08153078202995012,1
Dropout,0.019383464008569717,0.08319467554076543,1
Dropout,0.01959889382123947,0.08485856905158073,1
Dropout,0.019850842654705048,0.08652246256239604,1
Dropout,0.019879430532455444,0.08818635607321135,1
Dropout,0.02002248540520668,0.08985024958402665,1
Dropout,0.02004976011812687,0.09151414309484196,1
Dropout,0.020144948735833168,0.09317803660565727,1
Dropout,0.02060803771018982,0.09484193011647257,1
Dropout,0.02074074186384678,0.09650582362728788,1
Dropout,0.020774735137820244,0.09816971713810319,1
Dropout,0.020847603678703308,0.09983361064891849,1
Dropout,0.0210792925208807,0.1014975041597338,1
Dropout,0.021180877462029457,0.1031613976705491,1
Dropout,0.021735090762376785,0.10482529118136441,1
Dropout,0.021914048120379448,0.10648918469217972,1
Dropout,0.022054022178053856,0.10815307820299502,1
Dropout,0.02206524834036827,0.10981697171381033,1
Dropout,0.02223127894103527,0.11148086522462564,1
Dropout,0.02227599360048771,0.11314475873544094,1
Dropout,0.02299678511917591,0.11314475873544094,0.9964912280701754
Dropout,0.02328728884458542,0.11480865224625625,0.9964912280701754
Dropout,0.023293228819966316,0.11647254575707155,0.9964912280701754
Dropout,0.02352830581367016,0.11813643926788686,0.9964912280701754
Dropout,0.023710738867521286,0.11980033277870217,0.9964912280701754
Dropout,0.023934653028845787,0.12146422628951747,0.9964912280701754
Dropout,0.02447458729147911,0.12312811980033278,0.9964912280701754
Dropout,0.024493301287293434,0.12479201331114809,0.9964912280701754
Dropout,0.02466057986021042,0.1264559068219634,0.9964912280701754
Dropout,0.024690425023436546,0.1281198003327787,0.9964912280701754
Dropout,0.024997226893901825,0.129783693843594,0.9964912280701754
Dropout,0.025174492970108986,0.1314475873544093,0.9964912280701754
Dropout,0.02533801831305027,0.13311148086522462,0.9964912280701754
Dropout,0.025378849357366562,0.13477537437603992,0.9964912280701754
Dropout,0.025940164923667908,0.13643926788685523,0.9964912280701754
Dropout,0.026494620367884636,0.13810316139767054,0.9964912280701754
Dropout,0.02658141404390335,0.13976705490848584,0.9964912280701754
Dropout,0.027283377945423126,0.14143094841930115,0.9964912280701754
Dropout,0.027420608326792717,0.14309484193011646,0.9964912280701754
