Model,Accuracy,STD Error
Null,0.49943741770737743,1.3370660998734252e-4
Naive Bayes,0.5858012553742074,0.0031118984527858337
K nearest neighbor,0.7340885584172774,0.002616677903063755
Multinomial,0.7687637094455203,0.0029263913157871655
Elastic Net,0.7693270842940607,0.003011289691086441
Random Forest,0.7749627841972795,0.002785166966791637
Boosted Tree,0.7790364068474511,0.0028472707721861794
