Model,roc_auc,STD Error
Null,0.5,0
Naive Bayes,0.7866588175012219,0.0020870976123770705
K nearest neighbor,0.8337708179147852,0.002279087150991842
Multinomial,0.8648538332898966,0.002247103132937794
Elastic Net,0.865345977067092,0.002315742514131472
Random Forest,0.8738700199680334,0.002129824215994541
Boosted Tree,0.8826681177214585,0.0020849824168268803
